Study_Hours,Internal_Marks,Extra_Activities,Sleep Hours,Assignment_Scores,Final_Marks,Attendance,Family_Income,Internet_Access,Placement_Status,Risk_Category,Performance_Level
7,99,Yes,9,1,91.0,68,41228,Yes,Placed,Safe,Excellent
4,82,No,4,2,65.0,89,28637,No,Not Placed,Safe,Good
8,51,Yes,7,2,45.0,62,69726,Yes,Not Placed,Safe,Average
5,52,Yes,5,2,36.0,94,93377,No,Not Placed,At Risk,Poor
7,75,No,8,5,66.0,63,80236,Yes,Not Placed,Safe,Good
3,78,No,9,6,61.0,63,62277,No,Not Placed,Safe,Good
7,73,Yes,5,6,63.0,83,93233,Yes,Not Placed,Safe,Good
8,45,Yes,4,6,42.0,97,52650,No,Placed,Safe,Average
5,77,No,8,2,61.0,96,36843,Yes,Not Placed,Safe,Good
4,89,No,4,0,69.0,78,57351,No,Not Placed,Safe,Good
8,91,No,4,5,84.0,72,87206,Yes,Placed,Safe,Excellent
8,79,No,6,2,73.0,75,89744,Yes,Not Placed,Safe,Good
3,47,No,9,2,27.0,73,47472,No,Placed,At Risk,Poor
6,47,No,4,2,33.0,86,57096,Yes,Not Placed,At Risk,Poor
5,79,No,7,8,68.0,92,31835,No,Not Placed,Safe,Good
2,72,No,4,3,43.0,80,99083,No,Placed,Safe,Average
8,73,Yes,8,4,67.0,64,41431,No,Not Placed,Safe,Good
6,83,Yes,7,2,70.0,70,34019,No,Placed,Safe,Good
2,54,Yes,4,9,30.0,83,46126,No,Not Placed,At Risk,Poor
5,75,No,7,0,63.0,98,55670,Yes,Placed,Safe,Good
1,99,Yes,4,3,71.0,63,79469,Yes,Placed,Safe,Good
6,96,No,9,0,85.0,89,97085,No,Placed,Safe,Excellent
9,74,Yes,7,6,73.0,73,94388,No,Not Placed,Safe,Good
1,85,No,5,6,57.0,80,54357,Yes,Placed,Safe,Average
3,61,No,6,3,35.0,90,67871,No,Placed,At Risk,Poor
7,62,Yes,7,4,49.0,73,33733,Yes,Not Placed,Safe,Average
4,79,No,8,9,66.0,82,49068,No,Not Placed,Safe,Good
9,84,Yes,6,6,83.0,71,51423,No,Placed,Safe,Excellent
3,94,Yes,6,5,74.0,79,22048,Yes,Placed,Safe,Good
5,90,Yes,4,3,74.0,97,42309,No,Not Placed,Safe,Good
3,61,Yes,7,3,39.0,88,94243,No,Not Placed,At Risk,Poor
7,44,Yes,9,1,36.0,62,66864,Yes,Placed,At Risk,Poor
5,70,Yes,6,9,58.0,73,38145,No,Placed,Safe,Average
9,52,Yes,8,1,47.0,89,34383,Yes,Placed,Safe,Average
